y_test,predicted_prob_rf,predicted_prob_xgboost
0,0.170454275,0.211744651
0,0.10582361,0.105046064
0,0.044288655,0.047294062
0,0.073116334,0.073853731
0,0.10099633,0.129418939
0,0.075871316,0.067238338
0,0.065531238,0.056332022
0,0.220297213,0.197754249
0,0.021190512,0.028141066
0,0.112732673,0.109774582
0,0.026848992,0.019111581
0,0.239041892,0.456552893
0,0.279953455,0.226024255
0,0.11276369,0.1236099
0,0.084401532,0.109066054
0,0.083146487,0.068645865
0,0.15850943,0.099996865
0,0.282364192,0.125175357
0,0.037991164,0.079411767
0,0.026541288,0.039798733
0,0.043764968,0.066200912
0,0.115200224,0.099125475
0,0.270491713,0.118762664
0,0.163961166,0.136122569
1,0.332184581,0.387264162
0,0.082244986,0.119530305
0,0.143482153,0.109201483
0,0.249250353,0.252521664
0,0.021436511,0.03915206
0,0.138632455,0.145079359
0,0.179735591,0.207834467
0,0.077503682,0.107188292
0,0.168573669,0.285804421
0,0.32907977,0.177748665
0,0.129951053,0.126795202
1,0.187721971,0.230038345
1,0.414404774,0.495622665
0,0.28335602,0.208054751
1,0.382298875,0.251111776
0,0.086404748,0.07447838
1,0.07897748,0.072168745
0,0.068579557,0.099035457
0,0.246097849,0.29974103
0,0.009720725,0.01665258
1,0.337707915,0.461479276
0,0.290738195,0.441013247
0,0.060924899,0.052077252
1,0.091557167,0.061638221
0,0.27116532,0.142377466
0,0.338362835,0.373805702
0,0.024237931,0.039748278
1,0.105801066,0.098353863
0,0.137346131,0.165167481
1,0.166513355,0.140338168
1,0.531017344,0.634300768
0,0.155609032,0.174561307
0,0.025371478,0.035530955
0,0.238610714,0.18143177
0,0.142200727,0.174222499
0,0.445392468,0.604814887
0,0.35674137,0.303564429
0,0.07419313,0.073482856
1,0.400948389,0.310533345
0,0.764043093,0.93778336
0,0.213570942,0.160887524
1,0.857683817,0.973727286
0,0.240364978,0.299823523
0,0.515903915,0.456822008
0,0.028050911,0.040432263
0,0.090580481,0.103152439
1,0.229443687,0.203520954
0,0.209318956,0.196360573
1,0.354851992,0.34413597
1,0.258107192,0.285752863
0,0.404290803,0.421122372
0,0.247243553,0.232775807
0,0.037206103,0.035756323
0,0.07225885,0.096946567
0,0.297962108,0.290623814
0,0.343420969,0.420634747
1,0.254396648,0.233212158
0,0.242891553,0.276951969
0,0.202867074,0.261475086
0,0.013301466,0.045345586
1,0.249093139,0.24901624
0,0.111657769,0.177363008
0,0.250377817,0.172901019
0,0.068399584,0.117164515
1,0.609868068,0.809138656
0,0.160989515,0.152838841
1,0.223998182,0.229400218
0,0.187272476,0.143326774
0,0.332352952,0.328050733
0,0.193605604,0.188227952
0,0.027715174,0.042311113
0,0.267625334,0.254169285
0,0.178013557,0.20998764
0,0.135427509,0.152117759
0,0.197292353,0.184102193
0,0.086138833,0.075079471
0,0.092245829,0.087340578
0,0.317532516,0.204149231
0,0.054562872,0.062758826
0,0.090385572,0.103359558
0,0.036040829,0.037406292
0,0.031657174,0.041147649
0,0.040739211,0.034989364
0,0.054336992,0.064829767
0,0.042455357,0.057046205
0,0.024773993,0.047051679
1,0.123486417,0.099747658
0,0.135495621,0.119516723
0,0.082859125,0.084809452
0,0.024555483,0.03406902
0,0.138843016,0.146971598
0,0.07867086,0.085111424
0,0.364215834,0.375312895
0,0.011732326,0.032451637
0,0.128600135,0.098283999
0,0.007696725,0.019902142
0,0.012887878,0.03679534
0,0.0732941,0.089886539
1,0.443059201,0.494517773
0,0.078102905,0.052639611
0,0.013222655,0.02537689
1,0.085115241,0.09462852
0,0.014427995,0.035045579
0,0.07612584,0.073352098
0,0.022230544,0.034492385
0,0.068811801,0.069478907
0,0.067110179,0.057600901
0,0.009764568,0.042619251
0,0.202336936,0.1500898
0,0.20359162,0.201041788
0,0.339004416,0.468723416
0,0.181929691,0.11630553
0,0.106520462,0.069737308
0,0.392478477,0.304707438
0,0.301287867,0.435567379
0,0.198844294,0.245711237
0,0.039006179,0.04477939
0,0.255806668,0.242434278
0,0.106476514,0.128261566
1,0.18499847,0.109761581
0,0.071094761,0.073191792
0,0.10645613,0.127737999
0,0.367170787,0.451782465
0,0.269496466,0.214283556
1,0.279377421,0.3097637
1,0.458116679,0.574931741
0,0.283133036,0.332990438
0,0.084937167,0.105724037
0,0.113992251,0.073162906
0,0.084920162,0.091731884
0,0.300649725,0.23393023
0,0.024532302,0.05570969
1,0.076293413,0.099201106
0,0.108282718,0.110218376
0,0.169899966,0.158237442
0,0.112354809,0.189892396
0,0.575936324,0.619782984
0,0.051889008,0.056517996
0,0.046895811,0.060472243
1,0.140030736,0.095927022
0,0.065351434,0.074341618
0,0.428310398,0.515555501
1,0.275070769,0.612609982
0,0.009376113,0.017838443
1,0.157854874,0.104474083
0,0.017621672,0.022710871
0,0.059962385,0.059441924
0,0.066573369,0.081215031
0,0.085522313,0.105421729
0,0.241721704,0.275458276
0,0.265453752,0.224104211
0,0.126990032,0.141411349
0,0.289689445,0.269214928
0,0.066650695,0.114650592
0,0.034488856,0.048769806
0,0.036176198,0.049897704
0,0.10354739,0.110493302
0,0.182270903,0.192772806
0,0.101251489,0.104762435
0,0.040377302,0.061605521
1,0.304104214,0.360570818
0,0.187758435,0.217271775
0,0.035729456,0.075293981
0,0.257516941,0.209120959
0,0.077081871,0.095053323
0,0.036256685,0.047236945
0,0.104463638,0.112751342
0,0.074214329,0.076006986
0,0.055157963,0.08068797
1,0.36133059,0.321878254
0,0.031884327,0.040234856
0,0.231238195,0.119007036
1,0.1932665,0.177729368
0,0.028411619,0.037843209
1,0.813967586,0.92834264
0,0.079615261,0.120149203
0,0.176395734,0.114542924
0,0.030685236,0.060423993
0,0.021541641,0.034492385
0,0.237781741,0.482117325
0,0.326718269,0.38350299
0,0.336367059,0.373728484
0,0.019401548,0.030519577
0,0.159043839,0.194228545
0,0.043106462,0.054047745
0,0.093388828,0.169928133
0,0.284154179,0.259085923
0,0.17360492,0.127172306
